,country_id,country,year,main_mean,actuals_last_12months
0,117,Ukraine,2026,9690.6618,69676.0
1,218,Israel,2026,5688.2359,16777.0
2,136,Pakistan,2026,4322.1464,3149.0
3,120,Somalia,2026,3498.9602,3584.0
4,79,Nigeria,2026,3341.44,3706.0
5,245,Sudan,2026,2376.0369,8358.0
6,124,Yemen,2026,2191.838,1430.0
7,57,Ethiopia,2026,1860.9812,2394.0
8,47,Burkina Faso,2026,1518.3431,2829.0
9,149,Myanmar,2026,1415.4726,2139.0
10,220,Syria,2026,1275.2793,3432.0
11,167,"Congo, DRC",2026,1234.7349,3983.0
12,50,Mali,2026,1208.5652,1290.0
13,223,India,2026,702.2459,554.0
14,65,Russia,2026,641.9258,7279.0
15,78,Niger,2026,604.6587,1001.0
16,24,Haiti,2026,353.0815,583.0
17,28,Colombia,2026,317.9939,364.0
18,133,Afghanistan,2026,313.738,374.0
19,162,Mozambique,2026,248.667,249.0
20,69,Cameroon,2026,228.68630000000002,241.0
21,94,Lebanon,2026,189.5197,1506.0
22,246,South Sudan,2026,188.7576,319.0
23,145,Philippines,2026,165.1141,135.0
24,128,Iran,2026,130.7164,1307.0
25,60,Iraq,2026,129.6118,193.0
26,70,Central African Republic,2026,88.5107,226.0
27,209,Indonesia,2026,80.3668,119.0
28,237,Kenya,2026,63.2626,47.0
29,150,Thailand,2026,44.9453,77.0
30,214,Chad,2026,40.2466,43.0
31,74,Benin,2026,36.870599999999996,168.0
32,67,Algeria,2026,25.7728,35.0
33,17,Mexico,2026,21.0428,33.0
34,4,Venezuela,2026,19.6817,36.0
35,165,Angola,2026,13.313,34.0
