country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
220,Syria,2025,9702.4852,2011.0,382.47067130780704,conflict
136,Pakistan,2025,4726.6709,1325.0,256.72987924528303,conflict
133,Afghanistan,2025,457.7155,158.0,189.69335443037977,conflict
120,Somalia,2025,6016.7227,2232.0,169.56642921146954,conflict
223,India,2025,767.5427999999999,373.0,105.77554959785522,conflict
79,Nigeria,2025,6746.781,3374.0,99.96387077652638,conflict
138,Bangladesh,2025,65.4523,34.0,92.50676470588233,conflict
50,Mali,2025,2100.2452,1322.0,58.86877458396368,conflict
60,Iraq,2025,497.5277,314.0,58.44831210191083,conflict
57,Ethiopia,2025,4351.0372,2768.0,57.19065028901733,conflict
47,Burkina Faso,2025,5029.084,3231.0,55.65100588053233,conflict
69,Cameroon,2025,513.9955,346.0,48.553612716763006,conflict
145,Philippines,2025,349.31,243.0,43.748971193415635,conflict
167,"Congo, DRC",2025,1092.6345000000001,818.0,33.57389975550124,conflict
149,Myanmar,2025,3422.3752,2602.0,31.52863950807071,conflict
150,Thailand,2025,43.3555,34.0,27.51617647058823,conflict
162,Mozambique,2025,170.2817,140.0,21.629785714285717,conflict
28,Colombia,2025,173.94,145.0,19.95862068965517,conflict
78,Niger,2025,976.981,820.0,19.144024390243903,conflict
65,Russia,2025,727.4611,649.0,12.089537750385206,conflict
124,Yemen,2025,632.894,575.0,10.068521739130436,conflict
246,South Sudan,2025,28.2094,26.0,8.497692307692303,conflict
96,Turkey,2025,26.327199999999998,26.0,1.2584615384615296,conflict
237,Kenya,2025,105.6737,116.0,-8.901982758620692,conflict
70,Central African Republic,2025,248.5956,299.0,-16.857658862876256,conflict
245,Sudan,2025,3276.4317,3965.0,-17.36616141235813,conflict
94,Lebanon,2025,292.6923,368.0,-20.46404891304348,conflict
74,Benin,2025,51.0869,69.0,-25.961014492753627,conflict
24,Haiti,2025,120.2681,170.0,-29.254058823529412,conflict
209,Indonesia,2025,46.7898,72.0,-35.01416666666667,conflict
214,Chad,2025,44.4069,120.0,-62.994249999999994,conflict
128,Iran,2025,38.7131,164.0,-76.39445121951219,conflict
218,Israel,2025,7380.0011,35802.0,-79.38662337299593,conflict
155,Burundi,2025,23.0289,122.0,-81.1238524590164,no-conflict
117,Ukraine,2025,8498.5952,52174.0,-83.71105301491166,conflict
126,Azerbaijan,2025,11.4531,430.0,-97.33648837209302,no-conflict
