,country_id,country,year,main_mean,actuals_last_12months
0,9,Brazil,2025,53.8423,23.0
1,17,Mexico,2025,41.4625,18.0
2,81,Togo,2025,37.1,21.0
3,4,Venezuela,2025,15.3519,0.0
4,119,Oman,2025,13.3058,9.0
5,235,Uganda,2025,12.8737,16.0
6,165,Angola,2025,11.6145,21.0
7,172,Madagascar,2025,10.2329,0.0
8,213,Libya,2025,9.829,2.0
9,163,South Africa,2025,8.3713,6.0
10,131,Saudi Arabia,2025,8.2623,9.0
11,222,Egypt,2025,7.8316,1.0
12,67,Algeria,2025,7.7253,3.0
13,198,Taiwan,2025,7.0559,2.0
14,13,Peru,2025,6.9907,6.0
15,244,Mauritania,2025,6.2919,1.0
16,11,Ecuador,2025,5.4685,9.0
17,125,Armenia,2025,4.8576,11.0
18,73,Tunisia,2025,4.4455,4.0
19,137,Tajikistan,2025,3.8466,0.0
20,234,United States,2025,3.7619000000000002,5.0
21,134,Kyrgyzstan,2025,3.5665999999999998,0.0
22,243,Morocco,2025,3.4587,9.0
23,164,Swaziland,2025,3.2954,2.0
24,16,Guatemala,2025,3.1592000000000002,0.0
25,157,Zambia,2025,3.0951999999999997,0.0
26,242,Tanzania,2025,3.0227,0.0
27,62,Jordan,2025,2.761,0.0
28,199,China,2025,2.7047,1.0
29,10,Chile,2025,2.6032,3.0
30,55,Djibouti,2025,2.5425,2.0
31,56,Eritrea,2025,2.3458,0.0
32,41,Cote d'Ivoire,2025,2.1045,1.0
33,101,Poland,2025,2.0613,0.0
34,156,Rwanda,2025,1.8625,0.0
35,179,Papua New Guinea,2025,1.8369,0.0
36,158,Zimbabwe,2025,1.7112,0.0
37,48,Guinea,2025,1.567,0.0
38,166,Congo,2025,1.3911,0.0
39,132,United Arab Emirates,2025,1.3908,0.0
40,42,Ghana,2025,1.3441,0.0
41,159,Comoros,2025,1.2508,1.0
42,143,North Korea,2025,1.2357,0.0
43,177,Australia,2025,1.1942,0.0
44,100,Hungary,2025,1.1572,0.0
45,25,Jamaica,2025,1.0953,0.0
46,27,Belize,2025,1.0775000000000001,0.0
47,116,Romania,2025,1.0269,0.0
48,8,Bolivia,2025,1.0179,0.0
49,3,Trinidad and Tobago,2025,1.0092,0.0
50,52,Senegal,2025,0.9627,0.0
51,53,Sierra Leone,2025,0.8935,0.0
52,122,Turkmenistan,2025,0.8931,0.0
53,129,Kuwait,2025,0.8531,0.0
54,32,Honduras,2025,0.8386,0.0
55,123,Uzbekistan,2025,0.8293,0.0
56,161,Malawi,2025,0.8284,0.0
57,31,El Salvador,2025,0.7464,0.0
58,92,Georgia,2025,0.7306,0.0
59,102,Slovakia,2025,0.7266,0.0
60,89,Bulgaria,2025,0.6798,0.0
61,110,Belarus,2025,0.6636,0.0
62,7,Argentina,2025,0.6398,0.0
63,205,Malaysia,2025,0.6275,0.0
64,148,Laos,2025,0.5883,0.0
65,169,Gabon,2025,0.5849,0.0
66,130,Qatar,2025,0.5087,0.0
67,66,Sweden,2025,0.5068,0.0
68,1,Guyana,2025,0.5064,0.0
69,232,Kosovo,2025,0.4983,0.0
70,76,Equatorial Guinea,2025,0.4945,0.0
71,58,Mongolia,2025,0.49319999999999997,0.0
72,139,Bhutan,2025,0.4823,0.0
73,23,Dominican Republic,2025,0.4809,0.0
74,112,Finland,2025,0.4592,0.0
75,12,Paraguay,2025,0.4475,0.0
76,2,Suriname,2025,0.4453,0.0
77,64,Norway,2025,0.4393,0.0
78,63,Kazakhstan,2025,0.426,0.0
79,135,Nepal,2025,0.42,0.0
80,14,Uruguay,2025,0.4085,0.0
81,33,Nicaragua,2025,0.40359999999999996,0.0
82,184,Germany,2025,0.39990000000000003,0.0
83,105,France,2025,0.39299999999999996,0.0
84,151,Vietnam,2025,0.375,0.0
85,38,Ireland,2025,0.36360000000000003,0.0
86,80,Sao Tome and Principe,2025,0.3578,0.0
87,49,Guinea-Bissau,2025,0.3568,0.0
88,147,Cambodia,2025,0.3548,0.0
89,93,Greece,2025,0.35409999999999997,0.0
90,233,Serbia,2025,0.3489,0.0
91,121,Sri Lanka,2025,0.3436,0.0
92,34,Panama,2025,0.3372,0.0
93,83,Bosnia and Herzegovina,2025,0.3357,0.0
94,154,Botswana,2025,0.3317,0.0
95,170,Namibia,2025,0.3312,0.0
96,29,Costa Rica,2025,0.3279,0.0
97,30,Cuba,2025,0.32589999999999997,0.0
98,127,Bahrain,2025,0.3126,0.0
99,115,Moldova,2025,0.3114,0.0
100,97,Austria,2025,0.3099,0.0
101,173,Mauritius,2025,0.3061,0.0
102,109,Switzerland,2025,0.275,0.0
103,146,South Korea,2025,0.2703,0.0
104,160,Lesotho,2025,0.262,0.0
105,103,Slovenia,2025,0.2602,0.0
106,182,Vanuatu,2025,0.2493,0.0
107,99,Denmark,2025,0.2491,0.0
108,142,Japan,2025,0.2472,0.0
109,43,Liberia,2025,0.24710000000000001,0.0
110,85,Italy,2025,0.2334,0.0
111,104,Belgium,2025,0.231,0.0
112,46,Spain,2025,0.2194,0.0
113,98,Czech Republic,2025,0.2184,0.0
114,183,Canada,2025,0.218,0.0
115,206,Singapore,2025,0.214,0.0
116,168,Fiji,2025,0.2138,0.0
